watershed_group_code,crossing_feature_type,ch_spawning_blocked_km,ch_rearing_blocked_km,co_spawning_blocked_km,co_rearing_blocked_km,sk_spawning_blocked_km,sk_rearing_blocked_km,st_spawning_blocked_km,st_rearing_blocked_km,all_spawning_blocked_km,all_rearing_blocked_km,all_spawningrearing_blocked_km
USKE,"ROAD, RESOURCE/OTHER",1.90,3.29,4.78,7.99,0.00,0.00,4.61,16.83,7.49,19.18,19.18
USTK,"ROAD, RESOURCE/OTHER",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UTRE,RAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UTRE,"ROAD, RESOURCE/OTHER",0.00,1.69,11.75,59.85,0.00,0.00,0.00,0.00,11.75,59.85,59.85
VICT,DAM,4.88,8.05,12.36,13.83,0.00,0.00,7.44,11.81,12.72,15.25,15.49
VICT,RAIL,0.22,0.22,0.22,0.37,0.00,0.00,0.22,0.37,0.22,0.37,0.37
VICT,"ROAD, DEMOGRAPHIC",20.26,33.30,42.57,47.33,0.00,0.00,19.87,41.05,42.57,51.44,52.50
VICT,"ROAD, RESOURCE/OTHER",5.10,10.45,15.37,16.22,0.00,0.00,7.70,15.40,17.56,19.12,19.12
VICT,TRAIL,1.47,2.36,2.10,2.99,0.00,0.00,1.46,2.59,2.10,2.99,2.99
WILL,DAM,0.00,0.00,0.00,1.07,0.00,0.00,0.00,0.00,0.00,1.07,1.07
WILL,RAIL,0.00,0.00,1.00,5.50,0.00,0.00,0.00,0.00,1.00,5.50,5.50
WILL,"ROAD, DEMOGRAPHIC",33.81,37.43,45.53,101.84,4.66,34.77,0.00,0.00,45.53,136.60,136.60
WILL,"ROAD, RESOURCE/OTHER",31.64,55.81,107.70,424.18,0.00,0.00,0.00,0.00,107.70,424.18,424.18
WILL,TRAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WORC,DAM,19.34,19.75,27.54,28.72,4.61,89.96,21.95,31.94,28.96,127.83,132.12
WORC,RAIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
WORC,"ROAD, DEMOGRAPHIC",0.25,0.25,0.96,1.77,0.00,0.00,0.78,1.04,1.49,2.56,2.56
WORC,"ROAD, RESOURCE/OTHER",6.65,10.18,18.91,20.57,0.00,0.00,10.16,27.97,21.17,30.95,31.89
ZYMO,"ROAD, DEMOGRAPHIC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZYMO,"ROAD, RESOURCE/OTHER",3.36,7.66,10.78,20.29,0.00,0.00,5.89,35.95,13.17,43.89,43.89
